               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094849,            0.039175,                   0,             0.33118,             0.48026,             0.35654,             0.10804,             0.06519,            0.028344,                   0,             0.00189,             0.00189,             0.08299
                   1,            0.066967,            0.030144,                   0,             0.55218,             0.48026,             0.51489,             0.18204,            0.064142,            0.017831,                   0,           0.0037899,           0.0037899,             0.06589
                   2,            0.062474,             0.02496,                   0,             0.47336,             0.65132,              0.5174,             0.17692,            0.062291,            0.014786,                   0,           0.0056894,           0.0056894,            0.048789
                   3,            0.057419,            0.021472,                   0,             0.52219,             0.61184,             0.57895,             0.25661,            0.056229,            0.014191,                   0,           0.0075883,           0.0075883,            0.031688
                   4,            0.054889,            0.019727,                   0,             0.64492,             0.65721,             0.57589,             0.21872,             0.04879,            0.014234,                   0,           0.0094863,           0.0094863,            0.014586
                   5,            0.049508,            0.020173,                   0,             0.71202,             0.81579,             0.71093,             0.37366,            0.045036,            0.012888,                   0,           0.0099938,           0.0099938,           0.0099938
                   6,            0.044433,            0.016649,                   0,             0.78417,             0.86184,             0.83516,              0.4097,            0.040614,            0.011846,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,            0.041418,            0.017877,                   0,             0.80449,             0.86842,             0.78035,             0.41288,            0.039757,            0.012949,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.036972,            0.020605,                   0,             0.86232,               0.875,             0.91548,             0.50691,            0.035983,            0.012384,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.036976,            0.016902,                   0,             0.90755,             0.90789,             0.91345,             0.54973,            0.028438,            0.011892,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.033497,            0.017004,                   0,             0.87916,             0.86158,             0.91004,             0.59619,            0.031685,            0.012163,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.033479,            0.016664,                   0,              0.8527,             0.91447,             0.93054,             0.58946,            0.032737,            0.012028,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.032597,             0.01636,                   0,             0.89544,             0.84868,             0.90225,             0.58263,            0.030517,            0.012452,                   0,           0.0099702,           0.0099702,           0.0099702
